"Variable","All samples","Treatment group","Control group","Min","Max"
"question length (number of Chinese characters)","=""86.809""","=""84.233""","=""89.272""","=""0.000""","=""2702.000"""
"","=""(113.981)""","=""(89.347)""","=""(133.323)""","",""
"number of human-generated answers received by a question","=""1.293""","=""1.209""","=""1.372""","=""0.000""","=""8.000"""
"","=""(1.166)""","=""(1.133)""","=""(1.192)""","",""
"average number of net likes received by all the answers to a question","=""0.489""","=""0.436""","=""0.536""","=""-3.000""","=""14.000"""
"","=""(1.096)""","=""(1.041)""","=""(1.140)""","",""
"similarity between the second answer to the first answer","=""0.420""","=""0.432""","=""0.397""","=""-0.048""","=""0.991"""
"","=""(0.181)""","=""(0.175)""","=""(0.188)""","",""
"log(question length) for AI-generated answer (with 0 imputed)","=""2.774""","=""5.676""","=""0.000""","=""0.000""","=""6.977"""
"","=""(2.864)""","=""(0.556)""","=""(0.000)""","",""
"similarity between AI-generated answer and LLM (with 0 imputed)","=""0.271""","=""0.555""","=""0.000""","=""0.000""","=""0.891"""
"","=""(0.297)""","=""(0.152)""","=""(0.000)""","",""
"log(question length) for the first answer","=""4.662""","=""5.676""","=""3.443""","=""0.000""","=""7.912"""
"","=""(1.489)""","=""(0.556)""","=""(1.338)""","",""
"similarity between the first answer and LLM","=""0.506""","=""0.555""","=""0.445""","=""-0.090""","=""0.911"""
"","=""(0.177)""","=""(0.152)""","=""(0.187)""","",""
